GO	U	pval	pval_adj
meiotic cell cycle	148818.5	0.1791742045194772	1.0
male gonad development	98311.5	0.7747921161147974	1.0
cellular protein modification process	106003.0	0.7960167717316867	1.0
protein folding	144136.0	0.5903246960054475	1.0
ER to Golgi vesicle-mediated transport	151057.5	0.9710215747034006	1.0
regulation of molecular function	244156.0	0.9766785074750745	1.0
vesicle-mediated transport	189109.5	0.9999803081190275	1.0
ATPase activity	180222.5	0.21749609771634837	1.0
SH3 domain binding	121458.5	0.575157906874185	1.0
positive regulation of DNA binding transcription factor activity	82848.0	0.9884616911236838	1.0
