Bos_taurus	Capra_hircus	Ovis_aries	Homo_sapiens	Chlorocebus_sabaeus	name
ENSBTAT00000020406	XM_018066568.1	ENSOART00000012737	ENST00000300055	ENSCSAT00000015242	ENSG00000166819_PLIN1
ENSBTAT00000018782	XM_018062256.1	ENSOART00000004511	ENST00000544431	ENSCSAT00000002854	ENSG00000168813_ZNF507
ENSBTAT00000035069	XM_005693569.2	ENSOART00000005869	ENST00000226193	ENSCSAT00000008214	ENSG00000109047_RCVRN
ENSBTAT00000045602	XM_005699875.3	ENSOART00000013052	ENST00000404147	ENSCSAT00000005651	ENSG00000146670_CDCA5
ENSBTAT00000015372	XM_018054590.1	ENSOART00000021092	ENST00000262710	ENSCSAT00000014194	ENSG00000100813_ACIN1
ENSBTAT00000017067	XM_018055810.1	ENSOART00000013045	ENST00000323301	ENSCSAT00000011836	ENSG00000148356_LRSAM1
ENSBTAT00000002938	XM_005693653.3	ENSOART00000003615	ENST00000393227	ENSCSAT00000003518	ENSG00000108848_LUC7L3
ENSBTAT00000043661	XM_018055580.1	ENSOART00000019471	ENST00000432434	ENSCSAT00000006475	ENSG00000186453_FAM228A
ENSBTAT00000037465		ENSOART00000007137	ENST00000312499	ENSCSAT00000006425	ENSG00000175643_RMI2
ENSBTAT00000023396	XM_018049681.1	ENSOART00000003316	ENST00000395226	ENSCSAT00000002406	ENSG00000138678_GPAT3
ENSBTAT00000007149	XM_005695648.2	ENSOART00000008314	ENST00000157600	ENSCSAT00000008905	ENSG00000071282_LMCD1
ENSBTAT00000026825	XM_018044572.1	ENSOART00000002964	ENST00000378163		ENSG00000147044_CASK
ENSBTAT00000015052	XM_013967811.2	ENSOART00000020809	ENST00000260599	ENSCSAT00000007625	ENSG00000138030_KHK
ENSBTAT00000048415	XM_005678988.3	ENSOART00000008919	ENST00000342526	ENSCSAT00000011487	ENSG00000187546_AGMO
ENSBTAT00000007375	XM_005700421.2	ENSOART00000012267	ENST00000370648	ENSCSAT00000005555	ENSG00000102239_BRS3
	XM_013976679.2	ENSOART00000019697	ENST00000311912	ENSCSAT00000019620	ENSG00000101916_TLR8
ENSBTAT00000032764	XM_018041137.1	ENSOART00000019698	ENST00000369206	ENSCSAT00000002839	ENSG00000148704_VAX1
ENSBTAT00000006430	XM_018055006.1	ENSOART00000013619	ENST00000361874	ENSCSAT00000013652	ENSG00000204843_DCTN1
ENSBTAT00000002563	XM_005679233.3	ENSOART00000007794	ENST00000342032	ENSCSAT00000012905	ENSG00000106341_PPP1R17
ENSBTAT00000021212	XM_005682617.2	ENSOART00000016260	ENST00000304506	ENSCSAT00000011872	ENSG00000169194_IL13
ENSBTAT00000027798	XM_018055418.1	ENSOART00000021803	ENST00000358912	ENSCSAT00000012806	ENSG00000197329_PELI1
ENSBTAT00000008181	XM_018065764.1	ENSOART00000009496	ENST00000326035	ENSCSAT00000014872	ENSG00000177453_NIM1K
ENSBTAT00000011767	XM_018057839.1	ENSOART00000019525	ENST00000373558	ENSCSAT00000011792	ENSG00000197122_SRC
ENSBTAT00000028478	XM_018051617.1	ENSOART00000001977	ENST00000361132	ENSCSAT00000006325	ENSG00000146090_RASGEF1C
ENSBTAT00000009864		ENSOART00000010929	ENST00000316594	ENSCSAT00000018480	ENSG00000126945_HNRNPH2
ENSBTAT00000005652	XM_018064967.1	ENSOART00000000091	ENST00000406506	ENSCSAT00000012556	ENSG00000170178_HOXD12
ENSBTAT00000000015	XM_018048284.1	ENSOART00000020558	ENST00000397224	ENSCSAT00000005958	ENSG00000100350_FOXRED2
ENSBTAT00000003318	XM_005700757.3	ENSOART00000011999	ENST00000553851	ENSCSAT00000011070	ENSG00000243279_PRAF2
ENSBTAT00000012820	XM_005698427.3	ENSOART00000004422	ENST00000369788	ENSCSAT00000003371	ENSG00000138172_CALHM2
ENSBTAT00000001538	XM_018058595.1	ENSOART00000005854	ENST00000522652	ENSCSAT00000007919	ENSG00000008513_ST3GAL1
	XM_018049722.1		ENST00000382723	ENSCSAT00000014350	ENSG00000163132_MSX1
ENSBTAT00000055396	XM_018055941.1	ENSOART00000009870	ENST00000308941	ENSCSAT00000012562	ENSG00000175287_PHYHD1
ENSBTAT00000016884	XM_005696284.3	ENSOART00000016554	ENST00000373365	ENSCSAT00000008695	ENSG00000124767_GLO1
ENSBTAT00000037425	XM_005697619.2	ENSOART00000020073	ENST00000399069	ENSCSAT00000004518	ENSG00000205629_LCMT1
ENSBTAT00000033539	XM_018045789.1	ENSOART00000018794	ENST00000370214	ENSCSAT00000017049	ENSG00000117528_ABCD3
ENSBTAT00000023058	XM_018058201.1	ENSOART00000009896	ENST00000436581	ENSCSAT00000010885	ENSG00000079102_RUNX1T1
ENSBTAT00000005760	XM_013968557.2	ENSOART00000016118	ENST00000263063	ENSCSAT00000009750	ENSG00000107951_MTPAP
ENSBTAT00000027207	XM_018062888.1	ENSOART00000015494	ENST00000324041	ENSCSAT00000000073	ENSG00000167749_KLK4
ENSBTAT00000053463	XM_018058417.1	ENSOART00000022520	ENST00000258418	ENSCSAT00000004878	ENSG00000135932_CAB39
ENSBTAT00000042553	XM_018063838.1	ENSOART00000012378	ENST00000322444	ENSCSAT00000002694	ENSG00000180901_KCTD2
ENSBTAT00000055832	XM_018066903.1	ENSOART00000004030	ENST00000287777	ENSCSAT00000014854	ENSG00000157119_KLHL40
ENSBTAT00000014109	XM_018060956.1	ENSOART00000010850	ENST00000215912	ENSCSAT00000006810	ENSG00000100100_PIK3IP1
ENSBTAT00000027771	XM_018060467.1	ENSOART00000018199	ENST00000356575		ENSG00000162591_MEGF6
ENSBTAT00000025261	XM_018056061.1	ENSOART00000005396	ENST00000487664	ENSCSAT00000013801	ENSG00000107147_KCNT1
ENSBTAT00000003252	XM_018066314.1	ENSOART00000000955	ENST00000258886	ENSCSAT00000012997	ENSG00000136381_IREB2
ENSBTAT00000044420	XM_005696046.3	ENSOART00000010357	ENST00000357632	ENSCSAT00000014354	ENSG00000173585_CCR9
ENSBTAT00000063430	XM_018047977.1	ENSOART00000002887	ENST00000247815	ENSCSAT00000002397	ENSG00000127311_HELB
ENSBTAT00000018946	XM_005687817.3	ENSOART00000011820	ENST00000399002	ENSCSAT00000009894	ENSG00000172296_SPTLC3
ENSBTAT00000064999	XM_018064928.1	ENSOART00000007383	ENST00000393382	ENSCSAT00000000525	ENSG00000170703_TTLL6
ENSBTAT00000029039	XM_005676829.2	ENSOART00000006307	ENST00000538789	ENSCSAT00000017574	ENSG00000127423_AUNIP
ENSBTAT00000008955	XM_005674802.2	ENSOART00000018668	ENST00000336596	ENSCSAT00000003976	ENSG00000044524_EPHA3
ENSBTAT00000025981	XM_005688233.3	ENSOART00000000264	ENST00000379453	ENSCSAT00000010995	ENSG00000171873_ADRA1D
ENSBTAT00000024736	XM_018050082.1	ENSOART00000014952	ENST00000393959	ENSCSAT00000008430	ENSG00000145864_GABRB2
ENSBTAT00000061324	XM_013965892.2	ENSOART00000015546	ENST00000341998	ENSCSAT00000007497	ENSG00000155886_SLC24A2
ENSBTAT00000002311	XM_018051482.1	ENSOART00000009920	ENST00000420605	ENSCSAT00000003233	ENSG00000184162_NR2C2AP
ENSBTAT00000042964	XM_013967380.2	ENSOART00000003633	ENST00000338104	ENSCSAT00000009605	ENSG00000165533_TTC8
ENSBTAT00000008246	XM_018059807.1	ENSOART00000015095	ENST00000393067	ENSCSAT00000000943	ENSG00000110777_POU2AF1
ENSBTAT00000012512	XM_005681127.3	ENSOART00000020533	ENST00000498737	ENSCSAT00000003737	ENSG00000184983_NDUFA6
ENSBTAT00000000734	XM_018065680.1	ENSOART00000006051	ENST00000355237	ENSCSAT00000013812	ENSG00000197822_OCLN
ENSBTAT00000019773	XM_005676800.3	ENSOART00000004304	ENST00000361720	ENSCSAT00000017550	ENSG00000198746_GPATCH3
ENSBTAT00000021985	XM_018055276.1	ENSOART00000001790	ENST00000335712	ENSCSAT00000012489	ENSG00000119866_BCL11A
ENSBTAT00000008831	XM_005683522.3	ENSOART00000016695	ENST00000393674	ENSCSAT00000001122	ENSG00000164117_FBXO8
ENSBTAT00000018140	XM_018047519.1		ENST00000403058	ENSCSAT00000013291	ENSG00000106536_POU6F2
ENSBTAT00000008576	XM_018057041.1	ENSOART00000017644	ENST00000376215	ENSCSAT00000010090	ENSG00000148459_PDSS1
ENSBTAT00000019477	XM_018061163.1	ENSOART00000009914	ENST00000620097	ENSCSAT00000000477	ENSG00000111335_OAS2
ENSBTAT00000033491	XM_018046868.1	ENSOART00000013890	ENST00000326232	ENSCSAT00000006310	ENSG00000157800_SLC37A3
ENSBTAT00000021488	XM_018054748.1	ENSOART00000000392	ENST00000497771	ENSCSAT00000013985	ENSG00000187922_LCN10
ENSBTAT00000008645	XM_018066575.1	ENSOART00000019100	ENST00000267377	ENSCSAT00000019492	ENSG00000139874_SSTR1
	XM_018039119.1	ENSOART00000014803	ENST00000379287	ENSCSAT00000005575	ENSG00000145990_GFOD1
ENSBTAT00000017330	XM_018044396.1	ENSOART00000017321	ENST00000292778	ENSCSAT00000011454	ENSG00000161179_YDJC
ENSBTAT00000012550	XM_005680368.3	ENSOART00000011235	ENST00000257940	ENSCSAT00000018983	ENSG00000135482_ZC3H10
ENSBTAT00000002496	XM_018044028.1	ENSOART00000021751	ENST00000273666	ENSCSAT00000005226	ENSG00000145087_STXBP5L
ENSBTAT00000002533	XM_018054830.1	ENSOART00000015429	ENST00000611147	ENSCSAT00000015502	ENSG00000275111_ZNF2
ENSBTAT00000048158	XM_018063264.1	ENSOART00000012708	ENST00000567970		ENSG00000260456_C16orf95
ENSBTAT00000025071	XM_018062574.1	ENSOART00000010484	ENST00000221462	ENSCSAT00000001252	ENSG00000104866_PPP1R37
ENSBTAT00000010627	XM_018045193.1	ENSOART00000017549	ENST00000442628	ENSCSAT00000006938	ENSG00000185189_NRBP2
			ENST00000505667	ENSCSAT00000001162	ENSG00000129116_PALLD
ENSBTAT00000023292	XM_005699107.2	ENSOART00000005374	ENST00000373673	ENSCSAT00000018522	ENSG00000179774_ATOH7
ENSBTAT00000005468	XM_018059986.1	ENSOART00000008119	ENST00000391997	ENSCSAT00000011399	ENSG00000116703_PDC
ENSBTAT00000019475	XM_005683378.3	ENSOART00000015846	ENST00000231572	ENSCSAT00000008253	ENSG00000113643_RARS
ENSBTAT00000035350	XM_018056372.1	ENSOART00000005936	ENST00000245323	ENSCSAT00000015569	ENSG00000125266_EFNB2
ENSBTAT00000002682	XM_005694599.3	ENSOART00000006137	ENST00000380774	ENSCSAT00000013821	ENSG00000152942_RAD17
ENSBTAT00000005787	XM_018060161.1	ENSOART00000012761	ENST00000366926	ENSCSAT00000013850	ENSG00000196660_SLC30A10
ENSBTAT00000061427	XM_018044754.1	ENSOART00000007894	ENST00000261965	ENSCSAT00000015551	ENSG00000126216_TUBGCP3
	XM_013962832.2		ENST00000371614		ENSG00000198841_KTI12
ENSBTAT00000003763	XM_005690658.2	ENSOART00000015985	ENST00000281834	ENSCSAT00000009804	ENSG00000117586_TNFSF4
ENSBTAT00000064804		ENSOART00000020612	ENST00000356628	ENSCSAT00000019768	ENSG00000198435_NRARP
ENSBTAT00000024797	XM_018062470.1	ENSOART00000008981	ENST00000441343	ENSCSAT00000001518	ENSG00000105409_ATP1A3
ENSBTAT00000028151	XM_005683799.3	ENSOART00000013488	ENST00000341700	ENSCSAT00000005779	ENSG00000156049_GNA14
ENSBTAT00000002952	XM_005683019.3	ENSOART00000018768	ENST00000302060	ENSCSAT00000011122	ENSG00000170464_DNAJC18
ENSBTAT00000025765	XM_018064992.1	ENSOART00000011193	ENST00000315392	ENSCSAT00000000690	ENSG00000161381_PLXDC1
ENSBTAT00000019134	XM_005676710.3	ENSOART00000000280	ENST00000373586	ENSCSAT00000017483	ENSG00000084623_EIF3I
ENSBTAT00000050797	XM_018046856.1	ENSOART00000014935	ENST00000355413	ENSCSAT00000006183	ENSG00000006530_AGK
ENSBTAT00000004555	XM_018061976.1		ENST00000565112	ENSCSAT00000003585	ENSG00000155330_C16orf87
ENSBTAT00000026699	XM_005695278.3	ENSOART00000009926	ENST00000355081	ENSCSAT00000013443	ENSG00000179454_KLHL28
ENSBTAT00000010737	XM_018039777.1	ENSOART00000005282	ENST00000382911	ENSCSAT00000016214	ENSG00000166845_C18orf54
ENSBTAT00000022302	XM_018059625.1	ENSOART00000000729	ENST00000392770	ENSCSAT00000000423	ENSG00000166257_SCN3B
ENSBTAT00000012565	XM_018053406.1	ENSOART00000022336	ENST00000169298	ENSCSAT00000007267	ENSG00000073849_ST6GAL1
ENSBTAT00000014802	XM_018054313.1	ENSOART00000022649	ENST00000321437	ENSCSAT00000010419	ENSG00000166128_RAB8B
ENSBTAT00000050682	XM_005694641.3	ENSOART00000007047	ENST00000513458	ENSCSAT00000014071	ENSG00000153006_SREK1IP1
ENSBTAT00000013787	XM_018042937.1		ENST00000381775	ENSCSAT00000007945	ENSG00000130592_LSP1
ENSBTAT00000006998	XM_018038330.1	ENSOART00000012694	ENST00000383710	ENSCSAT00000010113	ENSG00000163618_CADPS
ENSBTAT00000002548	XM_018065562.1	ENSOART00000005653	ENST00000296755	ENSCSAT00000013725	ENSG00000131711_MAP1B
ENSBTAT00000055617	XM_018048672.1	ENSOART00000013558	ENST00000358495	ENSCSAT00000009762	ENSG00000002016_RAD52
ENSBTAT00000019916	XM_018047230.1	ENSOART00000005398	ENST00000265717	ENSCSAT00000009486	ENSG00000005249_PRKAR2B
ENSBTAT00000044205	XM_005680367.3		ENST00000553066	ENSCSAT00000003250	ENSG00000196465_MYL6B
ENSBTAT00000013535	XM_018044964.1		ENST00000375430	ENSCSAT00000015531	ENSG00000139835_GRTP1
ENSBTAT00000032961	XM_013967806.2	ENSOART00000020894	ENST00000310574	ENSCSAT00000007725	ENSG00000138074_SLC5A6
ENSBTAT00000005231	XM_018048824.1	ENSOART00000020010	ENST00000216259	ENSCSAT00000003826	ENSG00000100417_PMM1
ENSBTAT00000022573	XM_018064266.1	ENSOART00000015212	ENST00000621161	ENSCSAT00000004652	ENSG00000131242_RAB11FIP4
	XM_005680877.1	ENSOART00000022128	ENST00000240687	ENSCSAT00000019315	ENSG00000121377_TAS2R7
ENSBTAT00000065447	XM_018053006.1	ENSOART00000009067	ENST00000275159	ENSCSAT00000014199	ENSG00000146350_TBC1D32
ENSBTAT00000011688	XM_018052054.1	ENSOART00000014120	ENST00000265381	ENSCSAT00000006474	ENSG00000107282_APBA1
ENSBTAT00000007855	XM_005685917.2	ENSOART00000023007	ENST00000395125	ENSCSAT00000012423	ENSG00000100592_DAAM1
ENSBTAT00000003873	XM_005690635.3	ENSOART00000013523	ENST00000209929	ENSCSAT00000009698	ENSG00000094963_FMO2
ENSBTAT00000040085	XM_005675390.3	ENSOART00000002626	ENST00000264263	ENSCSAT00000010251	ENSG00000168827_GFM1
ENSBTAT00000034888	XM_005694276.3	ENSOART00000007468	ENST00000311177	ENSCSAT00000000536	ENSG00000170689_HOXB9
ENSBTAT00000020121	XM_018062894.1	ENSOART00000015561	ENST00000376851	ENSCSAT00000000068	ENSG00000167755_KLK6
ENSBTAT00000011469	XM_018055121.1	ENSOART00000010615	ENST00000233057	ENSCSAT00000010149	ENSG00000055332_EIF2AK2
ENSBTAT00000046051	XM_005679360.3	ENSOART00000010400	ENST00000222753	ENSCSAT00000012410	ENSG00000106031_HOXA13
ENSBTAT00000042924	XM_018056035.1	ENSOART00000006878	ENST00000224140	ENSCSAT00000013009	ENSG00000107290_SETX
ENSBTAT00000008498	XM_005686707.2	ENSOART00000022467	ENST00000254630	ENSCSAT00000014358	ENSG00000132300_PTCD3
ENSBTAT00000022750	XM_018061754.1	ENSOART00000008809	ENST00000562812	ENSCSAT00000001610	ENSG00000166446_CDYL2
ENSBTAT00000010999	XM_018048444.1	ENSOART00000022048	ENST00000330828	ENSCSAT00000019331	ENSG00000182993_C12orf60
ENSBTAT00000011613	XM_018057121.1	ENSOART00000006422	ENST00000327347	ENSCSAT00000011213	ENSG00000086475_SEPHS1
ENSBTAT00000013701	XM_005691198.3	ENSOART00000008346	ENST00000322396	ENSCSAT00000001406	ENSG00000164169_PRMT9
ENSBTAT00000038355	XM_018061945.1	ENSOART00000013385	ENST00000295206	ENSCSAT00000014635	ENSG00000163064_EN1
ENSBTAT00000064639	XM_018050732.1	ENSOART00000016629	ENST00000253754	ENSCSAT00000011922	ENSG00000131435_PDLIM4
ENSBTAT00000013452	XM_018038659.1	ENSOART00000000727	ENST00000373161	ENSCSAT00000009264	ENSG00000112212_TSPO2
	XM_018044152.1	ENSOART00000002366	ENST00000361229	ENSCSAT00000018210	ENSG00000198908_BHLHB9
ENSBTAT00000011924	XM_018048109.1	ENSOART00000011907	ENST00000322569	ENSCSAT00000003328	ENSG00000123342_MMP19
ENSBTAT00000063876	XM_005700325.2	ENSOART00000013628	ENST00000298542	ENSCSAT00000005880	ENSG00000165694_FRMD7
ENSBTAT00000002345	XM_018050911.1	ENSOART00000008232	ENST00000587950	ENSCSAT00000008015	ENSG00000174917_C19orf70
ENSBTAT00000023711	XM_005681579.2	ENSOART00000017052	ENST00000295454	ENSCSAT00000015233	ENSG00000163288_GABRB1
ENSBTAT00000062996	XM_018044038.1	ENSOART00000019334	ENST00000453707	ENSCSAT00000009193	ENSG00000125931_CITED1
ENSBTAT00000049552	XM_005679723.3	ENSOART00000016015	ENST00000261180	ENSCSAT00000002101	ENSG00000072657_TRHDE
ENSBTAT00000014629	XM_018042522.1	ENSOART00000007630	ENST00000373115	ENSCSAT00000006540	ENSG00000122863_CHST3
ENSBTAT00000014989	XM_013965759.2	ENSOART00000004580	ENST00000325602	ENSCSAT00000009774	ENSG00000181631_P2RY13
ENSBTAT00000004021	XM_018062266.1	ENSOART00000004725	ENST00000254260	ENSCSAT00000002794	ENSG00000131941_RHPN2
ENSBTAT00000023779	XM_013970703.2	ENSOART00000005982	ENST00000344318	ENSCSAT00000007692	ENSG00000100319_ZMAT5
ENSBTAT00000048435	XM_005684480.2	ENSOART00000008429	ENST00000368325	ENSCSAT00000014435	ENSG00000203760_CENPW
ENSBTAT00000005847	XM_005691791.3	ENSOART00000006539	ENST00000361070	ENSCSAT00000002577	ENSG00000168411_RFWD3
ENSBTAT00000002609	XM_005685846.3	ENSOART00000022611	ENST00000261889	ENSCSAT00000010543	ENSG00000028528_SNX1
ENSBTAT00000028031	XM_013962839.2	ENSOART00000004647	ENST00000357083	ENSCSAT00000017276	ENSG00000162374_ELAVL4
ENSBTAT00000020642	XM_018039066.1	ENSOART00000011365	ENST00000293760	ENSCSAT00000007761	ENSG00000161904_LEMD2
ENSBTAT00000043571	XM_005686984.2	ENSOART00000018195	ENST00000317402	ENSCSAT00000005983	ENSG00000178295_GEN1
ENSBTAT00000013096	XM_005693026.3		ENST00000282296	ENSCSAT00000016908	ENSG00000204519_ZNF551
ENSBTAT00000027753	XM_005686729.3	ENSOART00000022301	ENST00000282120	ENSCSAT00000014189	ENSG00000152291_TGOLN2
ENSBTAT00000000845	XM_018045151.1	ENSOART00000006079	ENST00000404767	ENSCSAT00000015666	ENSG00000164880_INTS1
ENSBTAT00000008495	XM_018052948.1	ENSOART00000016313	ENST00000253693	ENSCSAT00000008256	ENSG00000131375_CAPN7
ENSBTAT00000006821	XM_018061101.1	ENSOART00000016269	ENST00000545712	ENSCSAT00000000759	ENSG00000139428_MMAB
ENSBTAT00000028174	XM_018055355.1	ENSOART00000022568	ENST00000283632	ENSCSAT00000014448	ENSG00000153561_RMND5A
ENSBTAT00000000852	XM_018049347.1	ENSOART00000007808	ENST00000510092	ENSCSAT00000014739	ENSG00000053900_ANAPC4
ENSBTAT00000063222	XM_018058811.1	ENSOART00000013174	ENST00000370598	ENSCSAT00000011603	ENSG00000135298_ADGRB3
ENSBTAT00000013367	XM_018062091.1	ENSOART00000002496	ENST00000359087	ENSCSAT00000002651	ENSG00000159593_NAE1
ENSBTAT00000052718	XM_018055787.1		ENST00000319119	ENSCSAT00000011783	ENSG00000177125_ZBTB34
ENSBTAT00000007877	XM_018050863.1	ENSOART00000011120	ENST00000221856	ENSCSAT00000008705	ENSG00000105255_FSD1
ENSBTAT00000004678	XM_018048556.1	ENSOART00000006613	ENST00000311268	ENSCSAT00000008336	ENSG00000250510_GPR162
ENSBTAT00000011072	XM_018065621.1	ENSOART00000013303	ENST00000265069	ENSCSAT00000015271	ENSG00000056097_ZFR
ENSBTAT00000008338	XM_018047591.1	ENSOART00000016353	ENST00000393240	ENSCSAT00000001999	ENSG00000067715_SYT1
ENSBTAT00000004270	XM_018061282.1	ENSOART00000015176	ENST00000257570	ENSCSAT00000000239	ENSG00000135114_OASL
ENSBTAT00000055913	XM_013968798.2	ENSOART00000018961	ENST00000371173		ENSG00000124256_ZBP1
ENSBTAT00000021434	XM_018062100.1	ENSOART00000002893	ENST00000412916	ENSCSAT00000001755	ENSG00000067955_CBFB
ENSBTAT00000005361	XM_013966606.2	ENSOART00000003559	ENST00000239374	ENSCSAT00000012337	ENSG00000120262_CCDC170
ENSBTAT00000020716	XM_013969756.2	ENSOART00000012037	ENST00000289575	ENSCSAT00000001983	ENSG00000137491_SLCO2B1
ENSBTAT00000019774	XM_018056565.1	ENSOART00000004397	ENST00000374135	ENSCSAT00000017551	ENSG00000142751_GPN2
ENSBTAT00000018522	XM_018062193.1	ENSOART00000003781	ENST00000261778	ENSCSAT00000002127	ENSG00000103047_TANGO6
ENSBTAT00000002976	XM_005678674.3	ENSOART00000021723	ENST00000373014	ENSCSAT00000017411	ENSG00000183520_UTP11
ENSBTAT00000002161	XM_018058339.1	ENSOART00000016856	ENST00000407775	ENSCSAT00000009892	ENSG00000169946_ZFPM2
	XM_018066158.1		ENST00000621160		ENSG00000165949_IFI27
ENSBTAT00000043115	XM_005687208.3	ENSOART00000010402	ENST00000372667	ENSCSAT00000012465	ENSG00000160446_ZDHHC12
ENSBTAT00000013947	XM_018047833.1	ENSOART00000022626	ENST00000295822	ENSCSAT00000010812	ENSG00000163577_EIF5A2
ENSBTAT00000019304	XM_005684192.3	ENSOART00000003590	ENST00000375765	ENSCSAT00000018599	ENSG00000165023_DIRAS2
ENSBTAT00000021243	XM_018041731.1	ENSOART00000021452	ENST00000373130	ENSCSAT00000017432	ENSG00000196182_STK40
ENSBTAT00000052408	XM_018052772.1	ENSOART00000015326	ENST00000290399	ENSCSAT00000006603	ENSG00000159263_SIM2
ENSBTAT00000064309	XM_013971865.2	ENSOART00000012936	ENST00000360127	ENSCSAT00000012418	ENSG00000187624_C17orf97
ENSBTAT00000011393	XM_005698746.2	ENSOART00000009254	ENST00000332517	ENSCSAT00000000930	ENSG00000184108_TRIML1
ENSBTAT00000003698	XM_005693331.2	ENSOART00000005610	ENST00000604834	ENSCSAT00000004258	ENSG00000270379_HEATR9
	XM_018050023.1		ENST00000508780	ENSCSAT00000012525	ENSG00000173221_GLRX
ENSBTAT00000025537	XM_018044353.1	ENSOART00000017818	ENST00000314167	ENSCSAT00000013449	ENSG00000178950_GAK
ENSBTAT00000014098		ENSOART00000015923	ENST00000360264	ENSCSAT00000016160	ENSG00000257923_CUX1
ENSBTAT00000024921	XM_013970278.2	ENSOART00000009604	ENST00000294454	ENSCSAT00000017695	ENSG00000162461_SLC25A34
ENSBTAT00000029276	XM_005694706.2	ENSOART00000008666	ENST00000381375	ENSCSAT00000014656	ENSG00000164287_CDC20B
ENSBTAT00000006960	XM_005700206.3	ENSOART00000020544	ENST00000336803	ENSCSAT00000007315	ENSG00000165376_CLDN2
ENSBTAT00000025702	XM_018045158.1		ENST00000343242	ENSCSAT00000015669	ENSG00000198517_MAFK
ENSBTAT00000002200	XM_005684015.3	ENSOART00000010928	ENST00000290271	ENSCSAT00000014318	ENSG00000159167_STC1
	XM_018060810.1		ENST00000367393	ENSCSAT00000011729	ENSG00000203724_C1orf53
ENSBTAT00000003425	XM_018041710.1	ENSOART00000002681	ENST00000369103	ENSCSAT00000002769	ENSG00000148908_RGS10
ENSBTAT00000036876	XM_018044096.1	ENSOART00000019661	ENST00000218006	ENSCSAT00000006914	ENSG00000101890_GUCY2F
ENSBTAT00000026857	XM_018066312.1	ENSOART00000007481	ENST00000382422	ENSCSAT00000013677	ENSG00000198604_BAZ1A
ENSBTAT00000003636	XM_005685910.3	ENSOART00000022998	ENST00000216455	ENSCSAT00000012529	ENSG00000100567_PSMA3
ENSBTAT00000033632	XM_018047046.1	ENSOART00000015440	ENST00000381112	ENSCSAT00000013804	ENSG00000136280_CCM2
ENSBTAT00000011109	XM_018050127.1	ENSOART00000010771	ENST00000336314	ENSCSAT00000008887	ENSG00000155506_LARP1
ENSBTAT00000016120	XM_018051652.1	ENSOART00000013347	ENST00000454744	ENSCSAT00000010074	ENSG00000185988_PLK5
ENSBTAT00000028591	XM_013966838.1	ENSOART00000020870	ENST00000250495	ENSCSAT00000019152	ENSG00000129559_NEDD8
ENSBTAT00000025174	XM_013973517.2	ENSOART00000017037	ENST00000326925	ENSCSAT00000013332	ENSG00000178057_NDUFAF3
ENSBTAT00000012560	XM_005697894.3	ENSOART00000002594	ENST00000405731	ENSCSAT00000015789	ENSG00000136247_ZDHHC4
ENSBTAT00000024010	XM_018052233.1	ENSOART00000011931	ENST00000552516	ENSCSAT00000009161	ENSG00000106799_TGFBR1
ENSBTAT00000007309	XM_018053469.1	ENSOART00000005433	ENST00000400822	ENSCSAT00000010133	ENSG00000130396_AFDN
ENSBTAT00000009288	XM_018062586.1	ENSOART00000010506	ENST00000006275	ENSCSAT00000001244	ENSG00000007255_TRAPPC6A
ENSBTAT00000021691	XM_013973875.2	ENSOART00000011754	ENST00000371347	ENSCSAT00000010662	ENSG00000153291_SLC25A27
ENSBTAT00000047448	XM_013963731.2	ENSOART00000017586	ENST00000293373	ENSCSAT00000003426	ENSG00000123338_NCKAP1L
ENSBTAT00000026467	XM_018058691.1	ENSOART00000017947	ENST00000338033	ENSCSAT00000006988	ENSG00000181085_MAPK15
ENSBTAT00000004220	XM_018057915.1	ENSOART00000004991	ENST00000372813	ENSCSAT00000012353	ENSG00000025772_TOMM34
ENSBTAT00000007834	XM_018061208.1	ENSOART00000017701	ENST00000507499	ENSCSAT00000001198	ENSG00000038295_TLL1
	XM_018063551.1		ENST00000601382	ENSCSAT00000019307	ENSG00000269855_RNF225
ENSBTAT00000000025	XM_018060720.1	ENSOART00000003878	ENST00000367510	ENSCSAT00000010958	ENSG00000121481_RNF2
ENSBTAT00000020259	XM_018050156.1	ENSOART00000007777	ENST00000504761	ENSCSAT00000009647	ENSG00000070814_TCOF1
ENSBTAT00000035645	XM_018050708.1	ENSOART00000018492	ENST00000173527	ENSCSAT00000012186	ENSG00000066583_ISOC1
ENSBTAT00000030378	XM_018042799.1	ENSOART00000005341	ENST00000634661	ENSCSAT00000001699	ENSG00000137501_SYTL2
ENSBTAT00000012611	XM_005696119.3	ENSOART00000002573	ENST00000302506	ENSCSAT00000014014	ENSG00000164045_CDC25A
ENSBTAT00000064632	XM_013969561.2	ENSOART00000008148	ENST00000359774	ENSCSAT00000013944	ENSG00000196151_WDSUB1
ENSBTAT00000061313	XM_018039725.1	ENSOART00000001854	ENST00000269159	ENSCSAT00000015638	ENSG00000141401_IMPA2
ENSBTAT00000046060	XM_018051262.1	ENSOART00000011942	ENST00000397668	ENSCSAT00000004617	ENSG00000095066_HOOK2
ENSBTAT00000013397	XM_005691856.3	ENSOART00000013278	ENST00000309893	ENSCSAT00000001150	ENSG00000174990_CA5A
ENSBTAT00000035535		ENSOART00000008463	ENST00000512478		ENSG00000198856_OSTC
ENSBTAT00000035766		ENSOART00000009615	ENST00000375654	ENSCSAT00000019401	ENSG00000204390_HSPA1L
